,nutrient,measure,value
0,Fat,Grams (g),78.0
1,Saturated fat,Grams (g),20.0
2,Cholesterol,Milligrams (mg),300.0
3,Total carbohydrates,Grams (g),275.0
4,Sodium,Milligrams (mg),2300.0
5,Dietary Fiber,Grams (g),28.0
6,Protein,Grams (g),50.0
7,Added sugars,Grams (g),50.0
8,Vitamin A,Micrograms RAE2 (mcg),900.0
9,Vitamin C,Milligrams (mg),90.0
10,Calcium,Milligrams (mg),1300.0
11,Iron,Milligrams (mg),18.0
12,Vitamin D,Micrograms (mcg)3,20.0
13,Vitamin E,Milligrams (mg)4,15.0
14,Vitamin K,Micrograms (mcg),120.0
15,Thiamin,Milligrams (mg),1.2
16,Riboflavin,Milligrams (mg),1.3
17,Niacin,Milligrams NE5 (mg),16.0
18,Vitamin B6,Milligrams (mg),1.7
19,Folate6,Micrograms DFE7 (mcg),400.0
20,Vitamin B12,Micrograms (mcg),2.4
21,Biotin,Micrograms (mcg),30.0
22,Pantothenic acid,Milligrams (mg),5.0
23,Phosphorus,Milligrams (mg),1250.0
24,Iodine,Micrograms (mcg),150.0
25,Magnesium,Milligrams (mg),420.0
26,Zinc,Milligrams (mg),11.0
27,Selenium,Micrograms (mcg),55.0
28,Copper,Milligrams (mg),0.9
29,Manganese,Milligrams (mg),2.3
30,Chromium,Micrograms (mcg),35.0
31,Molybdenum,Micrograms (mcg),45.0
32,Chloride,Milligrams (mg),2300.0
33,Potassium,Milligrams (mg),4700.0
34,Choline,Milligrams (mg),550.0
35,Protein,Grams (g),431.68888888888887
