('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         859329 function calls (839029 primitive calls) in 2.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      322    1.888    0.006    1.888    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.069    0.035    0.069    0.035 {method 'connect' of '_socket.socket' objects}
        1    0.047    0.047    0.047    0.047 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     4089    0.025    0.000    0.119    0.000 parser.py:320(parse_starttag)
    36465    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
        1    0.017    0.017    0.017    0.017 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
 3152/188    0.017    0.000    0.049    0.000 _parser.py:512(_parse)
        2    0.017    0.008    0.203    0.102 parser.py:135(goahead)
      172    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
        2    0.013    0.007    0.014    0.007 {built-in method _socket.getaddrinfo}
 3871/177    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
    78647    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
84034/84030    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
     3948    0.008    0.000    0.013    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     4089    0.008    0.000    0.047    0.000 __init__.py:722(handle_starttag)
    11938    0.007    0.000    0.007    0.000 element.py:156(setup)
     8504    0.007    0.000    0.028    0.000 __init__.py:586(endData)
     3868    0.007    0.000    0.043    0.000 parser.py:398(parse_endtag)
        1    0.006    0.006    0.006    0.006 {method 'decompress' of 'zlib.Decompress' objects}
62123/57476    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     4089    0.006    0.000    0.056    0.000 _htmlparser.py:105(handle_starttag)
     4090    0.006    0.000    0.022    0.000 element.py:1199(__init__)
    21023    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     4089    0.006    0.000    0.032    0.000 _htmlparser.py:160(handle_endtag)
    12212    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
      809    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
      489    0.005    0.000    0.066    0.000 {built-in method builtins.__build_class__}
    22393    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    16281    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     4088    0.004    0.000    0.009    0.000 __init__.py:688(_popToTag)
4580/4542    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
    26138    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
 1145/177    0.004    0.000    0.050    0.000 _parser.py:452(_parse_sub)
     3924    0.004    0.000    0.010    0.000 __init__.py:620(object_was_parsed)
    12921    0.004    0.000    0.006    0.000 _parser.py:261(get)
      841    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    11926    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
        8    0.004    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
    21832    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     4090    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
 3849/327    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
      8/7    0.003    0.000    0.006    0.001 {built-in method _imp.exec_dynamic}
 2623/914    0.003    0.000    0.007    0.000 element.py:2336(_matches)
        1    0.003    0.003    0.022    0.022 dammit.py:70(_populate_class_variables)
     5908    0.003    0.000    0.015    0.000 element.py:2303(search)
    22486    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    20018    0.003    0.000    0.003    0.000 _parser.py:240(__next)
     3924    0.003    0.000    0.008    0.000 element.py:943(__new__)
       96    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
