('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         854145 function calls (833851 primitive calls) in 1.894 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
83839/83835    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
    78281    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
62001/57360    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    36004    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
    25863    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    22387    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    22186    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    21541    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    20784    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    20018    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    16055    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    16021    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    12921    0.003    0.000    0.005    0.000 _parser.py:261(get)
    12042    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
11774/10761    0.002    0.000    0.025    0.000 {built-in method builtins.hasattr}
    11767    0.007    0.000    0.007    0.000 element.py:156(setup)
    11760    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    11102    0.002    0.000    0.003    0.000 _parser.py:256(match)
    10839    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     9836    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     9673    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     9288    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
     9266    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
     8382    0.007    0.000    0.028    0.000 __init__.py:586(endData)
     8197    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     7042    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6959    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6690    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6238    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     6093    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     5908    0.003    0.000    0.015    0.000 element.py:2303(search)
     5554    0.003    0.000    0.003    0.000 _parser.py:176(append)
     4526    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
4522/4484    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
     4490    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4169    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     4035    0.006    0.000    0.022    0.000 element.py:1199(__init__)
     4035    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
     4035    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     4035    0.000    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     4034    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
     4034    0.008    0.000    0.047    0.000 __init__.py:722(handle_starttag)
     4034    0.003    0.000    0.009    0.000 parser.py:364(check_for_whole_start_tag)
     4034    0.006    0.000    0.056    0.000 _htmlparser.py:105(handle_starttag)
     4034    0.025    0.000    0.119    0.000 parser.py:320(parse_starttag)
     4034    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     4034    0.006    0.000    0.033    0.000 _htmlparser.py:160(handle_endtag)
     4034    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
     4033    0.005    0.000    0.009    0.000 __init__.py:688(_popToTag)
     4033    0.003    0.000    0.027    0.000 __init__.py:763(handle_endtag)
     3937    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3904    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     3899    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     3895    0.008    0.000    0.013    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     3871    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
 3871/177    0.010    0.000    0.025    0.000 _compiler.py:37(_compile)
     3866    0.004    0.000    0.010    0.000 __init__.py:620(object_was_parsed)
     3866    0.003    0.000    0.008    0.000 element.py:943(__new__)
     3866    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
 3849/327    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
     3817    0.007    0.000    0.043    0.000 parser.py:398(parse_endtag)
     3817    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
     3747    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
     3528    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
 3152/188    0.017    0.000    0.049    0.000 _parser.py:512(_parse)
     3090    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     3069    0.002    0.000    0.010    0.000 element.py:2240(search_tag)
     2774    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2689    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     2689    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     2634    0.002    0.000    0.004    0.000 __init__.py:91(_replace_charref)
 2623/914    0.003    0.000    0.006    0.000 element.py:2336(_matches)
     2306    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
2287/2285    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
     2251    0.000    0.000    0.001    0.000 css_parser.py:305(match)
     2232    0.000    0.000    0.000    0.000 py.py:11(<genexpr>)
     2212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2166    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2101    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1476    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1341    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1297    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1196    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
 1145/177    0.004    0.000    0.050    0.000 _parser.py:452(_parse_sub)
     1008    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      950    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      881    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      872    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      865    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      841    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      841    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      840    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      840    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      809    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      809    0.006    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
      742    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      708    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      698    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      689    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      658    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      651    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  578/521    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      544    0.000    0.000    0.000    0.000 element.py:1543(get)
      538    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      525    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      518    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      489    0.005    0.000    0.065    0.000 {built-in method builtins.__build_class__}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      471    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      464    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      464    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      464    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      450    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
    450/8    0.000    0.000    0.189    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      415    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      400    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      397    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      388    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      365    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      356    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      354    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      354    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      352    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      344    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      338    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      338    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      330    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      329    0.000    0.000    0.000    0.000 socket.py:732(readable)
      328    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      328    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      328    0.000    0.000    1.308    0.004 ssl.py:1095(read)
      328    1.307    0.004    1.307    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      328    0.001    0.000    1.309    0.004 ssl.py:1237(recv_into)
      328    0.001    0.000    1.310    0.004 socket.py:693(readinto)
      325    0.001    0.000    0.003    0.000 css_parser.py:1085(selector_iter)
      322    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      317    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      311    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      311    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      308    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      303    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      298    0.002    0.000    0.086    0.000 __init__.py:280(_compile)
      297    0.000    0.000    0.086    0.000 __init__.py:226(compile)
      292    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      259    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
