('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         893987 function calls (872670 primitive calls) in 3.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      339    1.554    0.005    1.554    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        2    1.497    0.749    1.498    0.749 {built-in method _socket.getaddrinfo}
        2    0.068    0.034    0.068    0.034 {method 'connect' of '_socket.socket' objects}
        1    0.043    0.043    0.043    0.043 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     4089    0.027    0.000    0.127    0.000 parser.py:320(parse_starttag)
    36479    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
 3254/216    0.018    0.000    0.053    0.000 _parser.py:512(_parse)
        2    0.018    0.009    0.216    0.108 parser.py:135(goahead)
      205    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4052/203    0.011    0.000    0.027    0.000 _compiler.py:37(_compile)
     3948    0.009    0.000    0.015    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
86088/86084    0.009    0.000    0.010    0.000 {built-in method builtins.isinstance}
    81571    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     4089    0.008    0.000    0.050    0.000 __init__.py:722(handle_starttag)
     8504    0.008    0.000    0.029    0.000 __init__.py:586(endData)
    11938    0.007    0.000    0.007    0.000 element.py:156(setup)
     3868    0.007    0.000    0.046    0.000 parser.py:398(parse_endtag)
       42    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      581    0.007    0.000    0.069    0.000 {built-in method builtins.__build_class__}
     4089    0.006    0.000    0.060    0.000 _htmlparser.py:105(handle_starttag)
64730/59906    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     4090    0.006    0.000    0.025    0.000 element.py:1199(__init__)
    21023    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     4089    0.006    0.000    0.034    0.000 _htmlparser.py:160(handle_endtag)
    12235    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
      926    0.006    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
     1050    0.005    0.000    0.005    0.000 {built-in method posix.stat}
    23556    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    16281    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
     4088    0.005    0.000    0.009    0.000 __init__.py:688(_popToTag)
4671/4633    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
     3924    0.004    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
    26577    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
 1226/203    0.004    0.000    0.053    0.000 _parser.py:452(_parse_sub)
    11926    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
        8    0.004    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
    15170    0.004    0.000    0.006    0.000 _parser.py:261(get)
    22231    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     4090    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
 4067/391    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
    22436    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      8/7    0.003    0.000    0.007    0.001 {built-in method _imp.exec_dynamic}
     3924    0.003    0.000    0.008    0.000 element.py:943(__new__)
 2623/914    0.003    0.000    0.007    0.000 element.py:2336(_matches)
    22486    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
      268    0.003    0.000    0.178    0.001 {method 'read' of '_io.BufferedReader' objects}
     5908    0.003    0.000    0.015    0.000 element.py:2303(search)
    17428    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
